300 50 50
31 38 13 1
59 12 6 16
43 50 10 9
73 66 12 1
14 93 4 16
68 98 9 0
33 77 10 0
53 42 16 25
34 17 13 1
72 79 13 1
67 37 3 4
52 25 18 16
63 33 7 9
96 97 7 4
37 12 9 1
94 67 6 4
66 23 7 0
39 96 15 1
52 100 3 4
29 38 7 1
91 48 8 1
21 2 16 4
51 5 11 4
8 10 12 16
16 9 17 16
65 69 9 0
29 35 6 4
22 90 5 16
39 46 8 4
40 73 5 25
25 68 16 9
26 11 12 4
21 23 16 16
81 31 14 1
93 38 6 4
13 32 2 16
71 70 14 1
11 68 11 1
98 39 11 0
60 41 2 25
31 42 11 1
59 60 9 1
70 72 4 1
78 53 11 9
26 37 13 25
77 64 9 4
19 37 17 9
96 73 15 16
50 89 4 1
73 27 13 4
69 16 17 16
28 6 15 4
54 21 7 0
70 11 11 4
3 60 11 0
22 19 14 4
38 14 12 9
88 82 14 16
22 31 9 16
44 9 3 16
87 83 9 0
81 60 9 1
90 1 10 0
99 47 9 16
97 83 14 9
89 21 12 4
90 52 13 0
66 54 9 9
9 99 8 9
71 27 10 0
30 66 6 16
3 30 8 4
91 41 8 1
21 4 11 4
36 96 8 1
36 13 8 9
12 3 10 9
50 64 13 4
60 13 12 4
97 81 15 1
45 74 14 1
34 81 7 9
6 46 22 16
92 53 4 9
45 55 11 9
64 55 11 4
18 67 10 4
20 3 8 9
92 95 8 1
44 65 12 1
28 83 13 16
100 1 11 9
65 47 16 16
58 24 2 16
60 97 8 1
67 69 9 9
72 82 12 4
32 61 11 9
77 99 11 4
87 89 11 25
71 52 11 9
51 72 7 4
28 4 7 9
79 51 8 1
50 13 8 0
88 79 13 1
2 33 6 9
66 26 16 4
80 19 7 0
95 42 15 9
17 39 13 1
5 52 9 0
27 18 12 1
35 90 13 9
19 56 15 1
35 10 7 1
92 14 11 9
57 32 16 4
23 33 5 16
75 86 8 4
52 37 13 0
26 60 13 1
43 72 6 4
20 79 18 9
5 97 18 16
35 35 17 4
56 19 10 0
83 93 8 16
61 71 8 1
76 74 7 1
2 93 11 16
37 91 18 16
41 58 12 0
60 73 10 1
33 50 9 4
32 35 9 16
43 50 14 0
36 62 16 16
60 61 9 1
16 35 11 16
12 51 12 16
68 66 12 4
10 9 11 0
12 15 9 1
49 64 10 16
50 65 7 16
29 59 13 16
3 9 13 4
13 90 9 9
76 47 5 1
49 98 6 4
59 26 15 25
91 63 10 1
36 7 7 0
46 14 13 1
16 36 10 1
98 68 9 16
96 10 9 1
51 14 7 0
82 73 12 1
81 12 20 9
81 5 15 9
27 70 2 25
98 24 8 16
92 49 4 9
52 9 15 4
17 15 14 25
99 62 4 25
63 77 13 1
93 44 12 16
61 70 5 1
57 58 5 1
76 20 10 1
72 41 8 1
8 68 15 25
85 39 17 4
43 90 12 9
94 65 18 4
14 77 9 16
45 42 8 1
67 12 16 9
65 75 10 16
30 79 11 1
16 11 10 4
97 38 11 4
44 24 10 9
32 12 3 16
86 63 9 1
70 75 8 0
67 88 8 16
51 23 6 0
84 87 11 9
31 80 1 16
52 34 13 9
87 47 16 1
38 26 6 1
75 97 13 1
16 65 17 16
91 45 10 16
46 41 13 4
28 13 7 9
74 19 8 1
86 23 9 0
21 9 11 1
69 50 14 25
60 51 8 1
31 56 5 1
45 82 14 0
9 77 18 4
90 92 13 25
62 95 6 9
47 6 10 4
22 100 12 4
37 25 17 16
99 48 16 16
38 55 7 0
14 34 9 1
51 43 2 16
1 54 8 25
37 44 13 1
37 93 12 1
100 37 10 0
18 87 11 16
98 86 20 25
82 92 7 16
30 56 12 16
91 46 6 4
82 3 12 4
56 32 0 9
37 95 7 0
31 20 16 1
9 92 6 0
53 60 8 9
52 79 14 16
88 34 9 16
14 79 9 16
10 98 7 0
40 86 5 9
49 14 8 9
80 21 9 9
21 24 7 1
55 44 10 1
92 10 12 9
8 94 11 1
53 86 11 0
37 46 9 9
9 45 9 1
5 70 4 16
70 76 12 1
66 16 15 1
83 64 6 9
84 89 5 9
92 22 10 0
1 67 17 9
47 31 11 0
5 62 8 9
95 3 13 16
45 63 3 25
36 32 11 1
43 99 14 0
29 83 2 25
69 21 8 9
5 9 8 1
14 91 7 0
13 10 7 1
97 12 10 16
3 34 12 0
83 83 13 9
18 95 8 9
66 89 15 4
69 12 6 25
79 43 12 4
18 85 18 25
87 70 10 25
48 46 14 9
82 97 11 1
41 27 6 9
19 23 3 16
50 4 10 1
13 13 7 9
70 94 9 16
82 46 12 16
78 27 6 16
72 75 5 1
28 97 6 1
95 79 9 9
96 84 11 16
99 45 11 0
59 31 10 4
60 97 11 16
90 25 17 25
12 37 11 1
79 94 8 16
81 30 9 1
55 76 10 1
48 36 8 25
25 47 6 9
98 44 9 16
90 34 8 9
15 49 15 16
57 84 1006 2259 0.158348908876069 500 5 0.524400512708041
25 5 8125 2027 0.383590852918569 250 6 0.524400512708041
19 77 991 1899 0.0776445141457953 500 6 0.524400512708041
11 46 8336 2175 0.0637979059200734 500 3 0.524400512708041
96 43 982 1563 0.130935801316518 500 5 0.524400512708041
22 89 975 1471 0.433975903873797 500 5 0.524400512708041
74 65 5022 1899 0.306272211424075 250 5 0.524400512708041
72 49 1013 2922 0.192723065337632 500 2 0.524400512708041
42 79 995 2516 0.216738543508109 100 4 0.524400512708041
51 57 4689 1190 0.45503397814231 500 4 0.524400512708041
92 2 995 1552 0.370373710801359 500 2 0.524400512708041
91 51 7764 2111 0.179122208030894 500 5 0.524400512708041
2 5 7881 2610 0.139231525016949 100 5 0.524400512708041
12 35 8026 1759 0.35726961313514 100 1 0.524400512708041
49 8 5497 2602 0.132186459391378 500 7 0.524400512708041
99 52 4566 2094 0.0432146697561257 100 4 0.524400512708041
78 82 4867 1843 0.182464815594722 100 1 0.524400512708041
44 9 8010 1782 0.119049785498064 500 2 0.524400512708041
54 47 8004 2548 0.33811951560434 250 1 0.524400512708041
84 96 5125 1784 0.366443454534747 250 2 0.524400512708041
44 53 4595 1563 0.379636289314367 500 1 0.524400512708041
31 55 999 1886 0.403295483323745 500 6 0.524400512708041
6 38 985 1565 0.356075235991739 100 1 0.524400512708041
40 14 8103 2653 0.114798348920885 500 6 0.524400512708041
7 35 4917 2861 0.231500150214415 500 5 0.524400512708041
76 49 980 2319 0.386100236277562 250 4 0.524400512708041
20 23 978 1187 0.117435880205594 500 2 0.524400512708041
71 53 5234 2301 0.237270862471778 100 2 0.524400512708041
4 88 5154 3028 0.388918087636121 500 4 0.524400512708041
60 57 4866 1252 0.327316498227883 250 2 0.524400512708041
8 7 7658 2517 0.0464647784270346 250 6 0.524400512708041
79 46 5254 1356 0.130590733881108 500 3 0.524400512708041
82 11 8265 1227 0.373449179602321 500 1 0.524400512708041
40 77 1021 1191 0.0537367197591811 250 2 0.524400512708041
53 48 1006 2391 0.226997252311558 100 6 0.524400512708041
45 99 1016 2378 0.431018006878439 100 7 0.524400512708041
26 26 7830 2643 0.222902260173578 100 5 0.524400512708041
74 25 998 1236 0.0863831753470004 250 1 0.524400512708041
91 68 7834 1763 0.0443312528263778 250 3 0.524400512708041
50 7 995 2006 0.42918242021231 500 3 0.524400512708041
46 40 4699 2954 0.374564508819021 100 2 0.524400512708041
69 18 7853 1087 0.0811076932214201 100 6 0.524400512708041
91 39 7591 1759 0.262570875086822 100 5 0.524400512708041
97 33 1022 1718 0.272574554039165 100 7 0.524400512708041
92 95 5045 2464 0.0646376225212589 250 2 0.524400512708041
54 79 5209 1148 0.495263082226738 100 1 0.524400512708041
93 41 997 1688 0.284866045173258 250 5 0.524400512708041
2 95 7597 2134 0.081773745524697 250 1 0.524400512708041
39 87 995 2477 0.450331438039429 500 6 0.524400512708041
43 90 8107 2677 0.258971542047802 250 6 0.524400512708041
1000 16 30
350 13 55
350 16 30
1000 11 30
5000 13 75
5000 16 35
1000 19 30
350 15 45
350 17 30
5000 13 60
1000 12 65
1000 16 30
1000 15 45
1000 16 65
1000 14 70
1000 15 70
5000 14 40
1000 12 30
5000 16 30
350 15 45
1000 16 30
350 11 60
1000 17 30
5000 15 30
1000 15 45
5000 11 75
350 15 70
5000 19 65
5000 19 55
5000 19 25
1000 18 45
1000 14 40
1000 13 40
1000 13 30
350 13 40
1000 16 75
1000 17 65
5000 16 60
1000 12 25
5000 10 40
5000 20 75
350 12 40
350 12 70
350 15 65
5000 15 60
1000 14 45
350 20 35
350 19 25
5000 20 70
350 19 40
