Computing_Time,Num_Of_Var,IWSP,VAP,MTSP,Inventory_Cost,Total_Fixed_Cost,Total_Variable_Cost,Crossover_Rate,Mutation_Rate
130730,40,366052.96,211869.0,9432.0,6710.9557552586775,147473.0,211869.0,0.7,0.3
127210,41,373598.58,213159.0,9559.0,6761.575726906405,153678.0,213159.0,0.7,0.3
129191,38,371417.03,215250.0,9613.0,7288.027819665509,148879.0,215250.0,0.7,0.3
129066,35,345574.27,216869.0,9844.0,6795.268195229508,121910.0,216869.0,0.7,0.3
127532,39,368857.71,210166.0,9561.0,6777.7135604746145,151914.0,210166.0,0.7,0.3
129553,40,378496.82,213515.0,9388.0,7255.821371156631,157726.0,213515.0,0.7,0.3
127388,37,355781.36,216695.0,9749.0,6794.357206768503,132292.0,216695.0,0.7,0.3
131080,38,359506.82,210700.0,9651.0,7250.8173420832345,141556.0,210700.0,0.7,0.3
126601,38,351923.59,214918.0,9603.0,6965.588204536449,130040.0,214918.0,0.7,0.3
127451,38,357299.82,213327.0,9747.0,6730.821457076346,137242.0,213327.0,0.7,0.3
124533,36,349060.84,217088.0,9742.0,6566.835214858874,125406.0,217088.0,0.7,0.3
127532,39,364632.25,212969.0,9654.0,6754.247739514278,144909.0,212969.0,0.7,0.3
127609,41,376779.78,209789.0,9547.0,7208.780633878441,159782.0,209789.0,0.7,0.3
125830,36,351679.46,217012.0,9715.0,6888.464855070035,127779.0,217012.0,0.7,0.3
128469,38,359116.86,214253.0,9578.0,7334.861450177317,137529.0,214253.0,0.7,0.3
128412,37,358718.06,215135.0,9684.0,6906.0616584387635,136677.0,215135.0,0.7,0.3
125932,38,360608.78,213118.0,9598.0,7026.780799017963,140464.0,213118.0,0.7,0.3
127034,39,358856.92,213548.0,9489.0,6852.922467549231,138456.0,213548.0,0.7,0.3
125947,38,356798.35,213036.0,9747.0,6808.3492785268145,136954.0,213036.0,0.7,0.3
128139,40,370588.65,213030.0,9450.0,7112.64589522349,150446.0,213030.0,0.7,0.3
