Computing_Time,Num_Of_Var,IWSP,VAP,MTSP,Inventory_Cost,Total_Fixed_Cost,Total_Variable_Cost,Crossover_Rate,Mutation_Rate
71570,10,152727.71,104854.0,4434.0,1902.7058298570357,45971.0,104854.0,0.9,0.5
71164,16,173546.43,94019.0,3399.0,2231.4260280866984,77296.0,94019.0,0.9,0.5
71174,12,143171.3,97228.0,3650.0,1715.2987254634868,44228.0,97228.0,0.9,0.5
70972,14,159512.99,93690.0,3503.0,1916.9911377808762,63906.0,93690.0,0.9,0.5
70779,13,182144.82,96159.0,3549.0,1954.821754246104,84031.0,96159.0,0.9,0.5
70665,12,150469.92,96869.0,3752.0,1684.9158881360606,51916.0,96869.0,0.9,0.5
70910,6,134271.11,109504.0,4686.0,1420.1089954680772,23347.0,109504.0,0.9,0.5
71197,15,153126.8,88754.0,3208.0,1906.799074651693,62466.0,88754.0,0.9,0.5
71079,16,148322.46,90247.0,3219.0,2059.463306000786,56016.0,90247.0,0.9,0.5
71061,15,160631.14,93012.0,3410.0,2231.135442126104,65388.0,93012.0,0.9,0.5
71651,15,141176.19,91059.0,3300.0,2104.192073021778,48013.0,91059.0,0.9,0.5
70938,12,148446.64,94335.0,3567.0,1843.6445494912869,52268.0,94335.0,0.9,0.5
71175,11,154714.3,102156.0,3995.0,1759.3017725340105,50799.0,102156.0,0.9,0.5
71022,10,130875.95,98135.0,3987.0,1622.9505358433175,31118.0,98135.0,0.9,0.5
71011,11,145251.29,96295.0,3689.0,1696.294321329455,47260.0,96295.0,0.9,0.5
70864,15,143512.73,92499.0,3416.0,2115.7329476495543,48898.0,92499.0,0.9,0.5
72207,15,167899.8,89591.0,3167.0,2080.796100587093,76228.0,89591.0,0.9,0.5
71310,13,157703.53,95594.0,3645.0,1819.5312162593843,60290.0,95594.0,0.9,0.5,10,146519.02,102997.0,4256.0,1922.0180841075469,41600.0,102997.0,0.9,0.5
70829,14,145833.4,93741.0,3381.0,1972.4001842675523,50120.0,93741.0,0.9,0.5
71167,10,134279.08,97346.0,4031.0,1548.0752816716672,35385.0,97346.0,0.9,0.5
